matrix shape,num tokens,SM count,milliseconds
4096 x 6144,32768,128,2.1722943782806396
4096 x 6144,32768,132,2.173849630355835
4096 x 6144,65536,8,cublas error
4096 x 6144,65536,16,27.703212356567384
4096 x 6144,65536,32,27.144467544555663
4096 x 6144,65536,48,13.568908882141113
4096 x 6144,65536,64,9.068588829040527
4096 x 6144,65536,96,5.7855809211730955
4096 x 6144,65536,128,4.390131187438965
4096 x 6144,65536,132,5.436665725708008
4096 x 6144,131072,8,cublas error
4096 x 6144,131072,16,54.4740478515625
4096 x 6144,131072,32,54.069254302978514
4096 x 6144,131072,48,27.08437728881836
4096 x 6144,131072,64,18.128537750244142
4096 x 6144,131072,96,11.984089660644532
4096 x 6144,131072,128,10.330495834350586
4096 x 6144,131072,132,9.928550338745117
4096 x 4096,1,8,0.1374911993741989
4096 x 4096,1,16,0.07614080011844634
4096 x 4096,1,32,0.04556799978017807
4096 x 4096,1,48,0.03783040046691895
4096 x 4096,1,64,0.030528000369668008
4096 x 4096,1,96,0.027583999931812285
4096 x 4096,1,128,0.021452799811959265
4096 x 4096,1,132,0.021484799683094025
4096 x 4096,2,8,0.13548800051212312
4096 x 4096,2,16,0.07601920217275619
4096 x 4096,2,32,0.04540160000324249
4096 x 4096,2,48,0.03546879962086678
4096 x 4096,2,64,0.031059199944138527
4096 x 4096,2,96,0.024729600176215172
4096 x 4096,2,128,0.023718399927020073
4096 x 4096,2,132,0.02409600019454956
4096 x 4096,4,8,0.13575679957866668
4096 x 4096,4,16,0.07557119876146316
4096 x 4096,4,32,0.04517119973897934
4096 x 4096,4,48,0.035257600247859955
4096 x 4096,4,64,0.03089920021593571
4096 x 4096,4,96,0.024639999866485594
4096 x 4096,4,128,0.023692799359560014
4096 x 4096,4,132,0.024179200083017348
4096 x 4096,8,8,0.13656960129737855
4096 x 4096,8,16,0.0757504016160965
4096 x 4096,8,32,0.04527999982237816
4096 x 4096,8,48,0.035436800122261046
4096 x 4096,8,64,0.02954240031540394
4096 x 4096,8,96,0.025011200457811356
4096 x 4096,8,128,0.023475199937820435
4096 x 4096,8,132,0.02402560003101826
4096 x 4096,16,8,0.13799040019512177
