matrix shape,num tokens,SM count,milliseconds
4096 x 128256,1024,128,1.7036159992218018
4096 x 128256,1024,132,1.7021248102188111
4096 x 128256,2048,8,35.47291564941406
4096 x 128256,2048,16,17.93226203918457
4096 x 128256,2048,32,11.798809623718261
4096 x 128256,2048,48,7.092729568481445
4096 x 128256,2048,64,5.1229567527771
4096 x 128256,2048,96,3.3801599502563477
4096 x 128256,2048,128,2.9421759605407716
4096 x 128256,2048,132,3.1155648231506348
4096 x 128256,4096,8,70.5085433959961
4096 x 128256,4096,16,35.80419845581055
4096 x 128256,4096,32,23.558246612548828
4096 x 128256,4096,48,14.157337760925293
4096 x 128256,4096,64,10.303859329223632
4096 x 128256,4096,96,7.579808044433594
4096 x 128256,4096,128,5.940895938873291
4096 x 128256,4096,132,5.962611293792724
4096 x 128256,8192,8,140.95063171386718
4096 x 128256,8192,16,71.54339904785157
4096 x 128256,8192,32,47.073612976074216
4096 x 128256,8192,48,28.86501121520996
4096 x 128256,8192,64,20.669791793823244
4096 x 128256,8192,96,14.88093433380127
4096 x 128256,8192,128,12.681395339965821
4096 x 128256,8192,132,12.624396705627442
4096 x 128256,16384,8,281.8420166015625
4096 x 128256,16384,16,143.0369415283203
4096 x 128256,16384,32,95.07530975341797
4096 x 128256,16384,48,57.82719421386719
4096 x 128256,16384,64,41.29976272583008
4096 x 128256,16384,96,31.199520111083984
4096 x 128256,16384,128,29.05024642944336
4096 x 128256,16384,132,29.249056243896483
4096 x 128256,32768,8,563.897802734375
4096 x 128256,32768,16,284.3156982421875
4096 x 128256,32768,32,191.11607055664064
4096 x 128256,32768,48,115.19596252441406
4096 x 128256,32768,64,82.40210571289063
4096 x 128256,32768,96,66.0983169555664
4096 x 128256,32768,128,51.479679870605466
4096 x 128256,32768,132,54.623469543457034
4096 x 128256,65536,8,1127.93564453125
4096 x 128256,65536,16,572.2661499023437
4096 x 128256,65536,32,382.9383605957031
4096 x 128256,65536,48,231.46713562011718
4096 x 128256,65536,64,169.9102325439453
4096 x 128256,65536,96,127.74831848144531
4096 x 128256,65536,128,108.00467834472656
4096 x 128256,65536,132,107.20546417236328
4096 x 128256,131072,8,2249.9423828125
4096 x 128256,131072,16,1141.6197998046875
4096 x 128256,131072,32,761.9066162109375
4096 x 128256,131072,48,460.7362121582031
4096 x 128256,131072,64,338.0430603027344
4096 x 128256,131072,96,252.5435577392578
4096 x 128256,131072,128,211.79627075195313
4096 x 128256,131072,132,212.59214782714844
