batch size,context size,SM count,milliseconds
8,16384,64,0.23827199935913085
8,16384,96,0.24915839731693268
8,16384,128,0.19371520280838012
8,16384,132,0.1910720020532608
8,32768,8,3.3167231559753416
8,32768,16,1.6798207998275756
8,32768,32,0.8540288090705872
8,32768,48,0.6466943979263305
8,32768,64,0.4480192005634308
8,32768,96,0.4700479984283447
8,32768,128,0.36339840292930603
8,32768,132,0.357478404045105
16,8,8,0.053395199775695804
16,8,16,0.03363839983940124
16,8,32,0.023654400184750558
16,8,48,0.021958400309085847
16,8,64,0.019571200013160706
16,8,96,0.018809599801898003
16,8,128,0.02027519978582859
16,8,132,0.01916159987449646
16,1024,8,0.2595647990703583
16,1024,16,0.1424127995967865
16,1024,32,0.08243200033903123
16,1024,48,0.06695040166378022
16,1024,64,0.05384959876537323
16,1024,96,0.053036800026893614
16,1024,128,0.045286399126052854
16,1024,132,0.04503040015697479
16,2048,8,0.4651327967643738
16,2048,16,0.24393600225448608
16,2048,32,0.1325439989566803
16,2048,48,0.10524799972772599
16,2048,64,0.08073600083589554
16,2048,96,0.08124159872531891
16,2048,128,0.06615680158138275
16,2048,132,0.06565119922161103
16,4096,8,0.8695936083793641
16,4096,16,0.44672639966011046
16,4096,32,0.23525759875774382
16,4096,48,0.18170880079269408
16,4096,64,0.13203840255737304
16,4096,96,0.13756800293922425
16,4096,128,0.11056640148162841
16,4096,132,0.10892159938812256
16,8192,8,1.6862783670425414
16,8192,16,0.8571135997772217
16,8192,32,0.44005119800567627
16,8192,48,0.33623679876327517
16,8192,64,0.23619199991226197
16,8192,96,0.24783360362052917
16,8192,128,0.19191039800643922
16,8192,132,0.19077759683132173
16,16384,8,3.3177727699279784
16,16384,16,1.6746816158294677
16,16384,32,0.8524415969848633
16,16384,48,0.6453247904777527
16,16384,64,0.44147839546203616
16,16384,96,0.4665983974933624
16,16384,128,0.36220160126686096
16,16384,132,0.35674239993095397
16,32768,8,6.580716800689697
16,32768,16,3.3109312057495117
16,32768,32,1.672665572166443
16,32768,48,1.2610559940338135
16,32768,64,0.8424319982528686
16,32768,96,0.8972927927970886
